Booking_ID,User_Type,Location_Zone,Slot_Type,Start_Time,Duration_Hours,Base_Price_Per_Hour,Dynamic_Price_Per_Hour,Occupancy_Status,Payment_Mode,User_Rating,Event_Tag,Anomaly
B1031,Office_Commuter,Residential,Driveway,10:30,1,56.51,84.77,Occupied,UPI,3.2,Festival,No
B1032,Regular,Commercial,Driveway,10:30,1,70.02,70.02,Occupied,Wallet,4.9,Normal_Day,No
B1033,Office_Commuter,IT_Hub,Apartment_Lot,17:15,3,47.56,47.56,Available,Wallet,,Normal_Day,No
B1034,Event_Goer,IT_Hub,Apartment_Lot,16:45,2,34.55,34.55,Occupied,UPI,4.3,Normal_Day,No
B1035,Regular,IT_Hub,Driveway,14:30,1,27.33,35.53,Occupied,Card,4.5,Weekend,No
B1036,Office_Commuter,Residential,Driveway,14:45,6,39.79,39.79,Available,UPI,,Normal_Day,No
B1037,Office_Commuter,IT_Hub,Apartment_Lot,18:30,6,41.17,41.17,Available,UPI,,Normal_Day,No
B1038,Office_Commuter,Commercial,Commercial_Space,22:45,1,73.24,102.54,Occupied,Wallet,3.9,Sport_Event,No
B1039,Regular,Commercial,Apartment_Lot,09:00,6,68.7,89.31,Occupied,UPI,3.1,Weekend,No
B1040,Event_Goer,Commercial,Commercial_Space,16:30,1,74.13,96.37,Occupied,UPI,4.4,Weekend,No
B1041,Regular,IT_Hub,Commercial_Space,10:00,1,34.36,34.36,Occupied,UPI,4.6,Strike/Bandh,Yes
B1042,Office_Commuter,Airport_Proximity,Commercial_Space,11:45,1,73.11,73.11,Available,UPI,,Normal_Day,No
B1043,Regular,Residential,Apartment_Lot,13:00,6,54.75,71.17,Occupied,UPI,3.8,Weekend,No
B1044,Regular,Residential,Apartment_Lot,11:15,1,40.7,40.7,Occupied,UPI,4.9,Strike/Bandh,Yes
B1045,Event_Goer,Event_Venue,Apartment_Lot,06:00,4,49.84,49.84,Occupied,Card,4.9,Normal_Day,No
B1046,Regular,Commercial,Driveway,13:15,2,48.76,63.39,Occupied,Card,5.0,Weekend,No
B1047,Tourist,Commercial,Driveway,18:45,2,64.74,64.74,Occupied,Card,3.8,Normal_Day,No
B1048,Event_Goer,IT_Hub,Driveway,18:00,1,51.79,51.79,Occupied,UPI,3.8,Strike/Bandh,Yes
B1049,Office_Commuter,IT_Hub,Commercial_Space,07:00,3,35.31,35.31,Occupied,Card,4.6,Normal_Day,No
B1050,Office_Commuter,Airport_Proximity,Apartment_Lot,10:00,8,65.5,65.5,Occupied,Card,4.2,Normal_Day,No
B1051,Regular,IT_Hub,Apartment_Lot,13:30,4,46.23,46.23,Available,UPI,,Normal_Day,No
B1052,Office_Commuter,Event_Venue,Apartment_Lot,22:45,3,53.97,70.16,Available,Card,,Weekend,No
B1053,Event_Goer,Airport_Proximity,Apartment_Lot,20:30,1,66.1,85.93,Occupied,UPI,4.8,Weekend,No
B1054,Regular,Commercial,Apartment_Lot,09:15,8,52.97,52.97,Available,UPI,,Normal_Day,No
B1055,Regular,Event_Venue,Driveway,20:00,3,39.44,51.27,Occupied,Wallet,3.4,Weekend,No
B1056,Tourist,Commercial,Commercial_Space,10:15,2,68.93,68.93,Occupied,UPI,4.4,Normal_Day,No
B1057,Regular,IT_Hub,Apartment_Lot,20:45,8,29.65,41.51,Occupied,UPI,4.6,Sport_Event,No
B1058,Tourist,Residential,Driveway,19:15,6,57.81,57.81,Occupied,UPI,4.4,Normal_Day,No
B1059,Office_Commuter,IT_Hub,Driveway,11:30,2,42.52,42.52,Occupied,UPI,4.1,Normal_Day,No
B1060,Office_Commuter,Residential,Apartment_Lot,22:00,3,50.55,50.55,Occupied,UPI,4.2,Normal_Day,No
B1061,Tourist,Commercial,Driveway,14:00,2,76.54,99.5,Occupied,UPI,5.0,Weekend,No
B1062,Event_Goer,Residential,Driveway,11:15,2,36.18,36.18,Occupied,Card,3.2,Normal_Day,No
B1063,Event_Goer,Commercial,Valet_Service,11:15,3,105.87,148.22,Occupied,Card,4.0,Sport_Event,No
B1064,Tourist,IT_Hub,Commercial_Space,16:45,3,35.69,49.97,Occupied,UPI,4.5,Sport_Event,No
B1065,Event_Goer,IT_Hub,Commercial_Space,11:00,3,44.95,62.93,Occupied,UPI,3.7,Sport_Event,No
B1066,Regular,Commercial,Apartment_Lot,07:00,4,93.9,122.07,Occupied,Card,4.5,Weekend,No
B1067,Regular,IT_Hub,Valet_Service,07:45,2,73.96,103.54,Occupied,UPI,4.6,Sport_Event,No
B1068,Office_Commuter,IT_Hub,Commercial_Space,08:00,2,46.53,65.14,Occupied,UPI,4.4,Sport_Event,No
B1069,Regular,IT_Hub,Commercial_Space,11:00,4,27.09,27.09,Occupied,Card,3.8,Normal_Day,No
B1070,Event_Goer,IT_Hub,Apartment_Lot,11:15,2,49.16,49.16,Available,UPI,,Normal_Day,No
B1071,Tourist,Event_Venue,Valet_Service,06:00,2,90.9,118.17,Occupied,UPI,4.5,Weekend,No
B1072,Office_Commuter,Commercial,Commercial_Space,20:45,3,70.55,70.55,Occupied,UPI,4.5,Normal_Day,No
B1073,Regular,Event_Venue,Apartment_Lot,16:30,2,65.06,65.06,Available,UPI,,Normal_Day,No
B1074,Regular,Commercial,Valet_Service,17:15,3,134.46,134.46,Available,Card,,Normal_Day,No
B1075,Event_Goer,IT_Hub,Valet_Service,13:30,2,81.29,105.68,Occupied,UPI,4.5,Weekend,No
B1076,Office_Commuter,IT_Hub,Apartment_Lot,19:00,10,65.39,65.39,Occupied,UPI,4.6,Normal_Day,No
B1077,Regular,Commercial,Driveway,16:15,2,75.24,75.24,Occupied,UPI,3.4,Normal_Day,No
B1078,Regular,Residential,Driveway,12:45,3,37.69,49.0,Occupied,UPI,4.3,Weekend,No
B1079,Regular,Airport_Proximity,Driveway,13:00,2,76.96,76.96,Occupied,UPI,4.6,Normal_Day,No
B1080,Regular,Commercial,Apartment_Lot,21:45,3,80.4,80.4,Occupied,UPI,4.0,Normal_Day,No
B1081,Office_Commuter,Residential,Driveway,12:30,2,29.99,29.99,Occupied,UPI,3.1,Normal_Day,No
B1082,Regular,IT_Hub,Apartment_Lot,06:00,2,47.22,47.22,Occupied,Wallet,3.4,Normal_Day,No
B1083,Tourist,Residential,Driveway,19:45,8,28.71,43.06,Occupied,Wallet,3.4,Festival,No
B1084,Regular,IT_Hub,Driveway,12:00,2,23.3,34.95,Available,UPI,,Festival,Yes
B1085,Regular,Commercial,Apartment_Lot,17:45,4,87.65,87.65,Occupied,UPI,3.6,Normal_Day,No
B1086,Office_Commuter,IT_Hub,Driveway,15:15,3,41.14,41.14,Occupied,UPI,4.1,Normal_Day,No
B1087,Event_Goer,Residential,Driveway,16:15,10,41.5,41.5,Occupied,UPI,3.0,Normal_Day,No
B1088,Office_Commuter,Residential,Apartment_Lot,11:15,3,50.29,50.29,Occupied,UPI,4.8,Normal_Day,No
B1089,Office_Commuter,Event_Venue,Apartment_Lot,12:15,8,44.73,44.73,Occupied,UPI,3.1,Normal_Day,No
B1090,Regular,IT_Hub,Driveway,09:30,2,24.76,24.76,Occupied,UPI,4.1,Normal_Day,No
B1091,Regular,IT_Hub,Valet_Service,10:45,2,72.02,72.02,Occupied,UPI,3.1,Normal_Day,No
B1092,Regular,Event_Venue,Driveway,07:00,2,29.54,38.4,Occupied,UPI,3.2,Weekend,No
B1093,Regular,Residential,Valet_Service,11:15,1,62.19,62.19,Available,Card,,Normal_Day,No
B1094,Office_Commuter,IT_Hub,Apartment_Lot,17:15,10,46.92,61.0,Occupied,Wallet,5.0,Weekend,No
B1095,Office_Commuter,Event_Venue,Apartment_Lot,14:00,4,52.86,52.86,Occupied,Card,4.1,Normal_Day,No
B1096,Regular,Commercial,Driveway,12:00,2,68.04,88.45,Occupied,UPI,3.9,Weekend,No
B1097,Event_Goer,Event_Venue,Apartment_Lot,08:45,1,30.36,30.36,Occupied,UPI,4.4,Normal_Day,No
B1098,Regular,Commercial,Apartment_Lot,18:15,3,80.1,80.1,Occupied,Card,3.0,Normal_Day,No
B1099,Regular,Commercial,Valet_Service,12:15,2,108.04,140.45,Occupied,UPI,4.3,Weekend,No
B1100,Office_Commuter,Airport_Proximity,Commercial_Space,12:45,4,65.8,65.8,Occupied,UPI,3.5,Normal_Day,No
B1101,Regular,Residential,Valet_Service,14:30,2,77.18,100.33,Occupied,Card,4.6,Weekend,No
B1102,Regular,Commercial,Commercial_Space,19:45,3,58.77,58.77,Occupied,Card,4.3,Strike/Bandh,Yes
B1103,Event_Goer,Commercial,Driveway,07:00,2,73.82,73.82,Available,UPI,,Normal_Day,No
B1104,Regular,Airport_Proximity,Commercial_Space,08:45,10,66.27,86.15,Occupied,UPI,4.6,Weekend,No
B1105,Regular,Residential,Apartment_Lot,14:45,3,28.26,28.26,Available,UPI,,Normal_Day,No
B1106,Regular,IT_Hub,Valet_Service,17:15,6,86.59,86.59,Occupied,UPI,3.5,Normal_Day,No
B1107,Tourist,Commercial,Driveway,21:00,8,90.1,90.1,Occupied,Card,4.0,Strike/Bandh,Yes
B1108,Office_Commuter,Event_Venue,Apartment_Lot,13:30,8,41.57,62.36,Occupied,UPI,3.3,Festival,No
B1109,Regular,Residential,Valet_Service,09:30,4,97.31,97.31,Available,Card,,Normal_Day,No
B1110,Regular,IT_Hub,Driveway,16:00,4,43.69,65.53,Occupied,UPI,3.6,Festival,No
B1111,Event_Goer,Airport_Proximity,Apartment_Lot,07:45,1,66.07,99.1,Occupied,UPI,3.0,Festival,No
B1112,Regular,IT_Hub,Driveway,20:15,6,34.44,44.77,Available,UPI,,Weekend,No
B1113,Office_Commuter,IT_Hub,Apartment_Lot,19:45,4,44.92,44.92,Occupied,UPI,3.8,Normal_Day,No
B1114,Regular,IT_Hub,Driveway,16:15,1,38.87,54.42,Occupied,Card,4.1,Sport_Event,No
B1115,Office_Commuter,Residential,Commercial_Space,20:15,2,27.75,27.75,Available,Card,,Normal_Day,No
B1116,Regular,IT_Hub,Valet_Service,10:30,10,76.56,76.56,Occupied,Wallet,4.5,Normal_Day,No
B1117,Regular,IT_Hub,Commercial_Space,20:45,3,55.49,77.69,Occupied,Card,4.6,Sport_Event,No
B1118,Office_Commuter,IT_Hub,Commercial_Space,08:00,1,52.49,52.49,Occupied,UPI,4.4,Normal_Day,No
B1119,Regular,Residential,Apartment_Lot,07:45,3,44.91,44.91,Occupied,UPI,4.4,Strike/Bandh,Yes
B1120,Regular,Airport_Proximity,Commercial_Space,16:00,6,79.4,79.4,Occupied,UPI,3.0,Normal_Day,No
B1121,Regular,Residential,Driveway,13:45,8,48.46,48.46,Occupied,Card,3.2,Normal_Day,No
B1122,Office_Commuter,Commercial,Driveway,11:30,2,79.19,79.19,Occupied,Card,3.2,Normal_Day,No
B1123,Office_Commuter,Event_Venue,Apartment_Lot,14:15,8,45.53,63.74,Occupied,Wallet,4.2,Sport_Event,No
B1124,Regular,IT_Hub,Apartment_Lot,11:15,6,34.2,34.2,Occupied,Wallet,4.2,Normal_Day,No
B1125,Tourist,Commercial,Apartment_Lot,19:45,4,69.76,104.64,Occupied,UPI,3.3,Festival,No
B1126,Regular,IT_Hub,Driveway,14:30,4,46.14,46.14,Occupied,UPI,3.9,Normal_Day,No
B1127,Office_Commuter,IT_Hub,Commercial_Space,10:45,4,29.77,38.7,Occupied,UPI,4.0,Weekend,No
B1128,Event_Goer,Residential,Driveway,09:15,3,46.0,46.0,Occupied,UPI,3.8,Strike/Bandh,Yes
B1129,Regular,IT_Hub,Driveway,13:45,8,51.34,51.34,Occupied,Card,3.4,Normal_Day,No
B1130,Office_Commuter,Commercial,Driveway,20:15,3,81.49,81.49,Occupied,Card,3.5,Normal_Day,No
B1131,Tourist,Commercial,Commercial_Space,09:00,2,52.6,52.6,Available,UPI,,Normal_Day,No
B1132,Regular,Commercial,Apartment_Lot,14:00,3,75.88,75.88,Occupied,UPI,4.2,Normal_Day,No
B1133,Regular,Commercial,Commercial_Space,17:45,3,71.15,106.73,Occupied,UPI,3.5,Festival,No
B1134,Regular,Commercial,Valet_Service,06:30,2,111.91,145.48,Occupied,UPI,4.4,Weekend,No
B1135,Regular,Commercial,Valet_Service,12:30,2,101.05,101.05,Occupied,UPI,3.3,Normal_Day,No
B1136,Regular,Residential,Valet_Service,13:15,2,72.79,72.79,Available,UPI,,Normal_Day,No
B1137,Tourist,Airport_Proximity,Driveway,22:15,8,74.84,97.29,Occupied,Card,4.4,Weekend,No
B1138,Tourist,Residential,Apartment_Lot,21:00,3,30.1,39.13,Occupied,Card,5.0,Weekend,No
B1139,Office_Commuter,Residential,Driveway,16:45,4,35.6,46.28,Available,UPI,,Weekend,No
B1140,Office_Commuter,IT_Hub,Driveway,18:30,2,49.8,49.8,Occupied,Wallet,4.1,Normal_Day,No
B1141,Regular,Commercial,Apartment_Lot,22:30,2,56.65,56.65,Occupied,Wallet,4.2,Normal_Day,No
B1142,Regular,Commercial,Commercial_Space,21:15,3,56.1,72.93,Occupied,Wallet,4.5,Weekend,No
B1143,Office_Commuter,IT_Hub,Valet_Service,18:00,2,63.55,63.55,Occupied,Card,3.5,Normal_Day,No
B1144,Office_Commuter,Residential,Valet_Service,07:15,3,71.29,71.29,Available,UPI,,Normal_Day,No
B1145,Regular,Event_Venue,Commercial_Space,22:00,3,30.16,30.16,Occupied,Wallet,3.4,Normal_Day,No
B1146,Event_Goer,IT_Hub,Driveway,15:00,2,39.8,59.7,Occupied,UPI,4.3,Festival,No
B1147,Office_Commuter,Event_Venue,Commercial_Space,14:15,2,45.52,59.18,Occupied,Wallet,4.8,Weekend,No
B1148,Regular,Residential,Commercial_Space,09:45,4,45.87,45.87,Occupied,UPI,3.5,Normal_Day,No
B1149,Office_Commuter,Commercial,Apartment_Lot,21:00,4,76.81,99.85,Occupied,UPI,3.8,Weekend,No
B1150,Event_Goer,Commercial,Valet_Service,08:30,4,95.64,124.33,Occupied,Card,3.3,Weekend,No
B1151,Regular,IT_Hub,Apartment_Lot,12:00,1,20.87,20.87,Available,UPI,,Normal_Day,No
B1152,Regular,Residential,Driveway,09:00,3,42.34,63.51,Occupied,UPI,3.6,Festival,No
B1153,Regular,IT_Hub,Valet_Service,07:15,3,64.44,83.77,Occupied,UPI,4.1,Weekend,No
B1154,Office_Commuter,Residential,Apartment_Lot,21:15,1,55.83,55.83,Occupied,Wallet,4.9,Normal_Day,No
B1155,Regular,Commercial,Driveway,10:45,8,66.93,66.93,Available,UPI,,Normal_Day,No
B1156,Event_Goer,Residential,Commercial_Space,06:00,6,47.08,47.08,Occupied,UPI,3.7,Normal_Day,No
B1157,Regular,IT_Hub,Apartment_Lot,16:30,2,49.57,49.57,Occupied,UPI,4.8,Normal_Day,No
B1158,Regular,Airport_Proximity,Commercial_Space,15:45,8,70.82,70.82,Available,Card,,Normal_Day,No
B1159,Office_Commuter,IT_Hub,Driveway,14:30,3,39.01,39.01,Occupied,UPI,5.0,Normal_Day,No
B1160,Event_Goer,IT_Hub,Driveway,06:45,4,34.84,48.78,Available,Wallet,,Sport_Event,Yes
B1161,Regular,Commercial,Apartment_Lot,20:45,1,79.32,103.12,Occupied,UPI,4.9,Weekend,No
B1162,Office_Commuter,Residential,Commercial_Space,16:15,4,26.88,34.94,Occupied,UPI,4.0,Weekend,No
B1163,Office_Commuter,Event_Venue,Driveway,14:30,1,24.37,31.68,Occupied,UPI,4.4,Weekend,No
B1164,Event_Goer,Event_Venue,Driveway,10:30,2,44.91,67.36,Occupied,Wallet,3.8,Festival,No
B1165,Tourist,Commercial,Apartment_Lot,19:30,4,59.72,77.64,Occupied,UPI,4.0,Weekend,No
B1166,Regular,Residential,Commercial_Space,12:00,2,39.85,39.85,Occupied,UPI,4.7,Normal_Day,No
B1167,Regular,Commercial,Driveway,21:45,4,75.79,113.69,Occupied,Card,3.8,Festival,No
B1168,Office_Commuter,Residential,Driveway,14:00,4,24.01,36.02,Occupied,Card,3.9,Festival,No
B1169,Event_Goer,IT_Hub,Commercial_Space,13:00,4,35.93,35.93,Occupied,UPI,4.5,Normal_Day,No
B1170,Event_Goer,IT_Hub,Driveway,16:00,1,26.53,26.53,Available,Wallet,,Normal_Day,No
B1171,Regular,Residential,Driveway,13:45,3,30.28,30.28,Occupied,Card,4.6,Normal_Day,No
B1172,Regular,Airport_Proximity,Apartment_Lot,08:00,2,67.89,95.05,Occupied,Card,3.6,Sport_Event,No
B1173,Regular,Commercial,Driveway,18:00,8,68.83,68.83,Occupied,UPI,3.1,Normal_Day,No
B1174,Regular,Event_Venue,Driveway,13:30,3,28.86,28.86,Available,Wallet,,Normal_Day,No
B1175,Regular,Residential,Valet_Service,12:00,2,76.31,76.31,Occupied,UPI,5.0,Normal_Day,No
B1176,Tourist,Event_Venue,Driveway,16:45,3,44.0,66.0,Occupied,UPI,4.7,Festival,No
B1177,Tourist,Commercial,Apartment_Lot,08:30,1,63.49,63.49,Occupied,UPI,4.8,Normal_Day,No
B1178,Regular,Residential,Apartment_Lot,13:00,4,36.45,36.45,Available,Wallet,,Normal_Day,No
B1179,Regular,IT_Hub,Commercial_Space,07:00,2,46.1,46.1,Occupied,Wallet,4.7,Normal_Day,No
B1180,Office_Commuter,Residential,Commercial_Space,16:45,1,47.22,47.22,Occupied,UPI,4.4,Strike/Bandh,Yes
B1181,Office_Commuter,Event_Venue,Driveway,13:30,1,36.27,47.15,Occupied,Wallet,3.2,Weekend,No
B1182,Event_Goer,Commercial,Apartment_Lot,10:45,2,67.56,67.56,Occupied,Wallet,3.0,Normal_Day,No
B1183,Regular,Event_Venue,Driveway,18:45,6,41.11,53.44,Available,UPI,,Weekend,No
B1184,Regular,Residential,Driveway,06:15,2,47.73,47.73,Occupied,Wallet,4.0,Normal_Day,No
B1185,Regular,IT_Hub,Valet_Service,16:30,3,88.82,115.47,Occupied,UPI,3.7,Weekend,No
B1186,Regular,Residential,Commercial_Space,18:15,3,43.23,43.23,Occupied,Card,4.7,Normal_Day,No
B1187,Regular,IT_Hub,Apartment_Lot,10:45,1,38.52,38.52,Occupied,UPI,3.9,Normal_Day,No
B1188,Tourist,IT_Hub,Driveway,17:45,2,39.46,39.46,Occupied,UPI,3.1,Normal_Day,No
B1189,Regular,Residential,Commercial_Space,15:45,2,48.13,48.13,Available,UPI,,Normal_Day,No
B1190,Regular,IT_Hub,Driveway,16:00,2,50.71,50.71,Occupied,Wallet,4.1,Normal_Day,No
B1191,Regular,IT_Hub,Driveway,17:45,2,32.72,42.54,Available,UPI,,Weekend,No
B1192,Tourist,Residential,Apartment_Lot,17:00,2,31.77,41.3,Occupied,Card,3.5,Weekend,No
B1193,Regular,Commercial,Commercial_Space,22:00,4,68.36,68.36,Available,UPI,,Normal_Day,No
B1194,Regular,IT_Hub,Driveway,15:15,8,56.33,56.33,Available,UPI,,Normal_Day,No
B1195,Regular,Airport_Proximity,Commercial_Space,22:45,2,67.39,101.09,Occupied,Wallet,4.5,Festival,No
B1196,Regular,Residential,Apartment_Lot,19:30,8,55.83,72.58,Occupied,UPI,3.7,Weekend,No
B1197,Regular,Commercial,Commercial_Space,12:45,3,73.8,73.8,Occupied,UPI,3.4,Normal_Day,No
B1198,Regular,Residential,Driveway,14:45,2,50.5,50.5,Available,UPI,,Normal_Day,No
B1199,Regular,Event_Venue,Driveway,21:30,2,26.19,39.29,Occupied,UPI,4.2,Festival,No
B1200,Regular,Commercial,Commercial_Space,21:30,2,61.41,61.41,Occupied,UPI,4.5,Strike/Bandh,Yes
B1201,Regular,Airport_Proximity,Valet_Service,10:00,1,121.42,121.42,Available,UPI,,Normal_Day,No
B1202,Regular,Airport_Proximity,Driveway,14:45,8,72.86,72.86,Available,Wallet,,Strike/Bandh,No
B1203,Regular,Residential,Commercial_Space,17:45,3,35.71,35.71,Occupied,UPI,4.4,Normal_Day,No
B1204,Regular,IT_Hub,Commercial_Space,16:00,3,55.82,83.73,Available,UPI,,Festival,Yes
B1205,Regular,IT_Hub,Driveway,08:45,1,45.13,58.67,Occupied,Wallet,5.0,Weekend,No
B1206,Regular,Residential,Driveway,20:15,2,54.58,76.41,Occupied,Wallet,3.1,Sport_Event,No
B1207,Office_Commuter,IT_Hub,Commercial_Space,07:45,2,34.84,34.84,Occupied,UPI,3.8,Normal_Day,No
B1208,Office_Commuter,Commercial,Driveway,13:45,1,75.41,113.11,Available,Wallet,,Festival,Yes
B1209,Event_Goer,Event_Venue,Apartment_Lot,20:45,1,48.85,63.51,Occupied,UPI,3.5,Weekend,No
B1210,Regular,Commercial,Driveway,16:00,2,80.5,80.5,Available,Card,,Normal_Day,No
B1211,Tourist,Event_Venue,Commercial_Space,21:00,6,31.36,31.36,Occupied,UPI,4.6,Normal_Day,No
B1212,Event_Goer,IT_Hub,Driveway,10:30,3,41.82,41.82,Available,UPI,,Normal_Day,No
B1213,Office_Commuter,Residential,Apartment_Lot,13:45,8,57.09,57.09,Occupied,UPI,3.3,Normal_Day,No
B1214,Regular,IT_Hub,Apartment_Lot,09:30,3,37.54,37.54,Occupied,Card,4.2,Normal_Day,No
B1215,Tourist,Commercial,Apartment_Lot,11:15,2,61.57,61.57,Occupied,UPI,3.3,Normal_Day,No
B1216,Regular,Airport_Proximity,Driveway,22:30,2,54.95,54.95,Occupied,UPI,3.0,Normal_Day,No
B1217,Regular,Residential,Driveway,12:00,3,47.6,47.6,Occupied,UPI,3.6,Normal_Day,No
B1218,Office_Commuter,Residential,Commercial_Space,12:30,8,59.01,59.01,Occupied,UPI,3.8,Strike/Bandh,Yes
B1219,Regular,Commercial,Valet_Service,18:45,4,109.39,109.39,Occupied,Card,4.4,Normal_Day,No
B1220,Office_Commuter,Residential,Commercial_Space,20:30,1,36.23,47.1,Available,Wallet,,Weekend,No
B1221,Regular,Event_Venue,Apartment_Lot,22:00,3,45.76,45.76,Occupied,UPI,4.3,Normal_Day,No
B1222,Event_Goer,IT_Hub,Apartment_Lot,19:15,1,44.52,57.88,Occupied,Wallet,5.0,Weekend,No
B1223,Office_Commuter,IT_Hub,Apartment_Lot,16:00,1,29.25,29.25,Available,Wallet,,Normal_Day,No
B1224,Regular,Commercial,Commercial_Space,11:45,2,67.04,67.04,Occupied,Card,4.2,Normal_Day,No
B1225,Regular,Commercial,Apartment_Lot,17:30,6,80.84,80.84,Available,UPI,,Normal_Day,No
B1226,Regular,Residential,Driveway,12:15,2,28.94,43.41,Occupied,UPI,3.1,Festival,No
B1227,Event_Goer,Event_Venue,Driveway,16:00,1,37.85,56.78,Occupied,Wallet,4.2,Festival,No
B1228,Event_Goer,Residential,Driveway,10:15,1,45.46,45.46,Occupied,UPI,3.8,Normal_Day,No
B1229,Regular,Residential,Commercial_Space,20:00,2,40.06,56.08,Occupied,Card,3.6,Sport_Event,No
B1230,Office_Commuter,Event_Venue,Commercial_Space,22:00,2,38.93,38.93,Occupied,UPI,3.3,Normal_Day,No
B1231,Event_Goer,Commercial,Commercial_Space,08:15,6,74.48,96.82,Occupied,UPI,4.4,Weekend,No
B1232,Regular,IT_Hub,Apartment_Lot,06:45,3,34.78,45.21,Occupied,UPI,3.7,Weekend,No
B1233,Office_Commuter,Commercial,Commercial_Space,13:45,8,75.65,98.35,Available,UPI,,Weekend,No
B1234,Event_Goer,Event_Venue,Driveway,20:45,1,43.27,43.27,Occupied,UPI,3.1,Normal_Day,No
B1235,Office_Commuter,IT_Hub,Apartment_Lot,17:45,6,56.29,56.29,Occupied,UPI,4.0,Normal_Day,No
B1236,Event_Goer,Commercial,Apartment_Lot,22:30,8,48.0,62.4,Occupied,Wallet,4.0,Weekend,No
B1237,Office_Commuter,Residential,Driveway,22:00,2,22.88,22.88,Occupied,UPI,3.1,Normal_Day,No
B1238,Office_Commuter,Residential,Commercial_Space,16:30,4,35.9,35.9,Available,UPI,,Normal_Day,No
B1239,Regular,Airport_Proximity,Driveway,13:15,6,62.53,62.53,Occupied,Wallet,4.7,Normal_Day,No
B1240,Tourist,Residential,Commercial_Space,10:45,4,45.85,59.61,Occupied,UPI,3.2,Weekend,No
B1241,Regular,Commercial,Driveway,08:45,1,74.5,111.75,Available,UPI,,Festival,Yes
